Category	Key	Round 1 Wins	Round 1 Losses	Round 1 Sum	Round 2 Wins	Round 2 Losses	Round 2 Sum	Round 3 Wins	Round 3 Losses	Round 3 Sum
Printings Artists	James Wong	3	0	206.53	2	1	211.20	0	2	88.53
Printings Artists	Ulrich Brunin	1	0	50.90	1	0	79.35	0	1	40.61
Printings Artists	Alan Pollack	59	73	6238.93	25	34	2769.22	12	13	1270.07
Printings Artists	Yohann Schepacz	11	4	926.72	7	4	612.09	4	3	424.90
Printings Artists	Chris J. Anderson	1	1	118.40	1	0	59.50	1	0	57.37
Printings Artists	Li Tie	0	4	72.86	1	0	69.61	1	0	84.81
Printings Artists	Torstein Nordstrand	1	5	221.67	0	1	30.28	0	0	0.00
Printings Artists	Nic Klein	9	11	964.82	3	6	367.84	0	3	127.40
Printings Artists	Liu Jianjian	0	2	19.63	0	0	0.00	0	0	0.00
Printings Artists	Hugh Jamieson	4	6	373.63	2	2	245.32	2	0	141.56
Printings Artists	Zak Plucinski	1	6	185.28	0	1	5.22	0	0	0.00
Printings Artists	Lubov	2	3	180.40	2	0	132.08	1	1	117.46
Printings Artists	Kensuke Okabayashi	1	6	232.24	0	1	26.89	0	0	0.00
Printings Artists	DiTerlizzi	29	57	3414.15	14	15	1400.04	7	7	745.03
Printings Artists	Lou Harrison	0	1	12.91	0	0	0.00	0	0	0.00
Printings Artists	George Pratt	6	8	624.74	2	4	281.89	1	1	112.89
Printings Artists	Allan Pollack	2	0	130.11	1	1	107.69	0	1	36.11
Printings Artists	William Simpson	7	4	478.24	3	4	326.03	0	3	107.07
Printings Artists	Jeff A. Menges	23	28	2283.74	10	14	1075.10	7	3	633.52
Printings Artists	BD	0	1	13.83	0	0	0.00	0	0	0.00
Printings Artists	Ian Edward Ameling	1	0	86.05	0	1	23.26	0	0	0.00
Printings Artists	Evkay Alkerway	0	1	32.80	0	0	0.00	0	0	0.00
Printings Artists	Ted Naifeh	0	11	264.12	0	0	0.00	0	0	0.00
Printings Artists	Bryon Wackwitz	7	13	841.62	4	3	381.30	4	0	268.24
Printings Artists	Henry G. Higgenbotham	1	2	163.47	2	0	157.48	2	0	171.23
Printings Artists	Li Youliang	1	2	130.39	0	1	9.18	0	0	0.00
Printings Artists	J. W. Frost	1	0	85.09	1	0	66.33	1	0	82.35
Printings Artists	D. J. Cleland-Hura	5	5	551.96	5	0	389.60	5	0	374.63
Printings Artists	Mark Hyzer	5	6	637.29	2	3	279.51	2	0	142.71
Printings Artists	Ron Brown	2	4	272.38	1	1	63.21	1	0	52.19
Printings Artists	Steve White	5	9	637.57	3	2	255.88	1	2	124.11
Printings Artists	Lindsey Look	8	5	775.67	5	3	454.21	3	2	285.49
Printings Artists	Julie Dillon	1	1	82.54	1	0	61.40	0	1	16.51
Printings Artists	Greg & Tim Hildebrandt	24	37	2556.39	9	15	1086.91	6	3	540.29
Printings Artists	Miao Aili	1	2	148.11	1	0	50.98	0	1	33.59
Printings Artists	Cos Koniotis	1	3	153.96	0	1	5.16	0	0	0.00
Printings Artists	Jean-Sébastien Rossbach	8	1	608.00	4	4	398.29	2	2	200.71
Printings Artists	Anthony Waters	3	10	417.97	0	3	74.75	0	0	0.00
Printings Artists	Tom Babbey	0	1	43.73	0	0	0.00	0	0	0.00
Printings Artists	Tommy Arnold	2	1	179.53	2	0	136.03	1	1	116.98
Printings Artists	Stephanie Law	3	0	208.06	1	2	107.78	0	1	20.84
Printings Artists	Ben Wootten	1	0	88.58	1	0	92.48	0	1	21.51
Printings Artists	David Seguin	2	0	117.49	0	2	65.65	0	0	0.00
Printings Artists	Michael Whelan	0	1	37.20	0	0	0.00	0	0	0.00
Printings Artists	Richard Whitters	4	4	422.38	2	2	162.13	1	1	86.90
Printings Artists	Michael Ryan	1	2	106.08	1	0	79.86	0	1	25.68
Printings Artists	Amy Weber & Tom Wänerstrand	1	0	88.17	0	1	26.49	0	0	0.00
Printings Artists	Tyler Jacobson	44	15	3899.87	30	14	2669.47	15	15	1566.86
Printings Artists	Yang Jun Kwon	2	3	193.09	0	2	52.95	0	0	0.00
